English,Croatian
the,u
be,biti
and,i
of,od
a,a
in,u
to,do
have,imati
to,do
it,to
I,ja
that,da
for,za
you,vas
he,on
with,s
on,na
do,čini
s,s
say,reći
they,oni
this,ovaj
but,ali
at,na
we,mi
his,njegov
from,iz
that,da
not,ne
n't,ne
by,po
or,ili
she,ona
as,kao
what,što
go,ići
their,njihov
will,htjeti
who,tko
can,može
get,dobiti
if,ako
all,svi
would,bi
her,nju
make,napraviti
about,oko
my,moj
know,znati
as,kao
there,tamo
one,jedan
up,gore
time,vrijeme
year,godina
so,tako
think,razmišljati
see,vidjeti
which,koji
when,kada
some,neki
them,ih
people,narod
take,uzeti
me,mi
out,van
into,u
just,samo
him,mu
come,doći
your,vaš
now,sada
could,mogao
than,od
like,Kao
other,drugi
then,zatim
how,kako
its,njegov
two,dva
our,naše
more,više
these,oni
want,želja
way,put
no,Ne
look,izgled
first,prvi
also,također
new,novi
because,jer
day,dan
more,više
use,koristiti
man,čovjek
here,ovdje
find,pronaći
give,dati
thing,stvar
well,dobro
many,puno
only,samo
those,oni
tell,reći
very,vrlo
one,jedan
even,čak
her,nju
back,leđa
any,bilo koji
good,dobro
us,nas
through,kroz
woman,žena
life,život
child,dijete
there,tamo
down,spušteno
work,raditi
after,nakon
call,poziv
may,svibanj
world,svijet
over,nad
should,trebao bi
still,još
try,probati
in,u
school,škola
as,kao
last,posljednji
ask,pitati
too,isto
need,potreba
three,tri
feel,osjetiti
when,kada
become,postati
state,država
never,nikada
between,između
high,visok
something,nešto
really,stvarno
most,najviše
another,još
much,mnogo
own,vlastiti
family,obitelj
out,van
house,kuća
leave,napustiti
put,staviti
old,star
on,na
while,dok
mean,zao
let,pustiti
why,zašto
president,predsjednik
keep,zadržati
same,isti
great,Sjajno
begin,početi
big,velik
seem,činiti se
group,skupina
country,zemlja
talk,razgovor
problem,problem
where,gdje
turn,skretanje
student,student
every,svaki
hand,ruka
help,Pomozite
against,protiv
start,početak
American,američki
part,dio
show,pokazati
about,oko
over,nad
might,moć
such,takav
place,mjesto
again,opet
city,Grad
case,slučaj
most,najviše
few,nekoliko
system,sustav
week,tjedan
where,gdje
company,društvo
each,svaki
percent,postotak
hear,čuti
so,tako
during,za vrijeme
question,pitanje
right,pravo
program,program
work,raditi
run,trčanje
number,broj
small,mali
government,vlada
play,igra
off,izvan
move,potez
like,Kao
always,stalno
night,noć
believe,vjerovati
today,danas
hold,zadržati
point,točka
live,uživo
happen,dogoditi se
bring,donijeti
next,Sljedeći
without,bez
before,prije
large,velik
must,mora
all,svi
war,rat
home,Dom
under,"pod, ispod"
room,soba
fact,činjenica
area,područje
national,državni
write,pisati
money,novac
right,pravo
story,priča
water,voda
mother,majka
different,drugačiji
young,mlad
month,mjesec
lot,mnogo
book,knjiga
eye,oko
study,studija
job,posao
kind,ljubazan
word,riječ
issue,problem
side,strana
four,četvero
business,poslovanje
though,iako
head,glava
far,daleko
long,dugačak
black,crno
million,milijun
both,oba
little,malo
yes,Da
after,nakon
since,od
around,oko
long,dugačak
provide,pružiti
service,servis
important,važno
sit,sjediti
away,daleko
friend,prijatelj
however,međutim
power,vlast
no,Ne
yet,još
father,otac
hour,sat
often,često
until,do
political,politički
line,crta
end,kraj
stand,stajati
among,među
game,igra
ever,ikad
lose,izgubiti
bad,loše
member,član
meet,susresti
pay,platiti
law,zakon
almost,skoro
car,automobil
later,kasnije
much,mnogo
name,Ime
include,uključivati
five,pet
center,centar
once,jednom
university,sveučilište
continue,nastaviti
least,najmanji
real,stvaran
white,bijela
change,promijeniti
set,set
several,nekoliko
ago,prije
information,informacija
nothing,ništa
community,zajednica
best,najbolje
right,pravo
idea,ideja
lead,voditi
body,tijelo
learn,naučiti
kid,dijete
minute,minuta
table,stol
whether,da li
understand,razumjeti
team,tim
back,leđa
watch,Gledati
together,zajedno
follow,slijediti
around,oko
only,samo
stop,Stop
face,lice
anything,bilo što
public,javnost
social,društveni
already,već
parent,roditelj
speak,govoriti
create,stvoriti
office,ured
allow,dopustiti
level,nivo
read,čitati
spend,potrošiti
person,osoba
door,vrata
sure,Naravno
add,dodati
street,ulica
such,takav
history,povijest
party,Zabava
grow,rasti
reason,razlog
morning,jutro
open,otvorena
within,unutar
change,promijeniti
although,iako
walk,hodati
news,vijesti
health,zdravlje
court,sud
force,sila
early,rano
himself,sam
air,zrak
low,nizak
before,prije
art,umjetnost
result,proizlaziti
moment,trenutak
offer,ponuda
both,oba
remember,zapamtiti
research,istraživanje
enough,dovoljno
girl,djevojka
boy,dječak
win,pobijediti
food,hrana
across,preko
guy,momak
second,drugi
able,sposoban
toward,prema
maybe,može biti
process,postupak
off,izvan
everything,sve
appear,pojaviti se
age,dob
policy,politika
consider,smatrati
including,uključujući
probably,vjerojatno
education,obrazovanje
love,ljubav
actually,zapravo
buy,kupiti
wait,čekati
die,umrijeti
human,ljudski
send,poslati
fee,pristojba
expect,očekivati
serve,poslužiti
sense,osjećaj
teacher,"učitelj, nastavnik, profesor"
home,Dom
market,tržište
stay,boravak
build,izgraditi
nation,narod
fall,pad
oh,Oh
death,smrt
plan,plan
interest,interes
someone,netko
experience,iskustvo
cut,izrezati
kill,ubiti
behind,iza
reach,dohvatiti
six,šest
local,lokalni
remain,ostati
effect,posljedica
suggest,predložiti
use,koristiti
control,kontrolirati
perhaps,možda
raise,podići
class,klasa
late,kasno
little,malo
major,major
yeah,Da
else,drugo
pass,proći
photo,fotografija
sell,prodavati
themselves,se
field,polje
college,koledž
sometimes,ponekad
former,prijašnji
development,razvoj
require,zahtijevati
along,uz
decide,odlučiti
security,sigurnost
up,gore
possible,moguć
effort,napor
role,uloga
better,bolje
rate,stopa
strong,jak
music,"glazba, muzika"
report,izvješće
leader,vođa
light,svjetlo
whole,cjelovit
voice,glas
color,boja
heart,srce
care,briga
police,policija
economic,ekonomski
wife,žena
show,pokazati
mind,um
report,izvješće
finally,konačno
drug,droga
less,manje
return,povratak
according,prema
pull,Vuci
decision,odluka
explain,objasniti
carry,nositi
develop,razviti
view,pogled
free,besplatno
hope,nada
even,čak
drive,voziti
son,sin
arm,ruka
department,odjel
TRUE,PRAVI
price,cijena
military,vojni
federal,savezni
break,pauza
action,akcijski
value,vrijednost
thank,zahvaliti
relationship,odnos
town,grad
better,bolje
building,zgrada
receive,primiti
society,društvo
difference,razlika
church,crkva
full,pun
join,pridružiti
road,cesta
because,jer
international,međunarodni
model,model
position,položaj
tax,porez
director,direktor
early,rano
agree,složiti se
matter,materija
especially,posebno
form,oblik
record,snimiti
special,poseban
ground,osnovni
whose,čiji
hard,tvrdoglav
pick,odabrati
paper,papir
official,službeno
season,sezona
wear,nositi
event,događaj
support,podržati
space,prostor
player,igrač
everyone,svatko
couple,par
end,kraj
base,baza
project,projekt
produce,proizvoditi
site,mjesto
situation,situacija
hit,pogoditi
industry,industrija
half,pola
activity,aktivnost
American,američki
eat,jesti
itself,sebe
need,potreba
figure,lik
cost,koštati
easy,lako
quite,dosta
face,lice
picture,slika
clear,čisto
cover,pokriti
describe,opisati
image,slika
teach,podučavati
wall,zid
doctor,liječnik
recent,nedavni
product,proizvod
data,podaci
practice,praksa
phone,telefon
piece,komad
certain,siguran
either,ili
oil,ulje
simply,jednostavno
test,test
personal,osobni
star,zvijezda
land,zemljište
third,treći
general,Općenito
computer,Računalo
movie,film
worker,radnik
open,otvorena
catch,ulov
type,tip
support,podržati
north,sjeverno
love,ljubav
step,korak
attention,pažnja
technology,tehnologija
organization,organizacija
baby,dijete
source,izvor
draw,crtati
cause,uzrok
tree,stablo
film,film
choose,odabrati
evidence,dokaz
Republican,Republikanac
difficult,težak
century,stoljeće
nearly,gotovo
red,Crvena
look,izgled
point,točka
window,prozor
park,park
period,razdoblje
culture,Kultura
hair,dlaka
listen,slušati
chance,prilika
less,manje
available,dostupno
brother,brat
summer,ljeto
realize,shvatiti
private,privatni
no,Ne
science,znanost
letter,pismo
congress,kongres
condition,stanje
short,kratak
likely,Vjerojatno
opportunity,prilika
rule,Pravilo
choice,izbor
single,singl
place,mjesto
patient,pacijent
floor,kat
term,termin
material,materijal
mile,milja
administration,uprava
well,dobro
course,tečaj
defense,obrana
plant,biljka
energy,energija
campaign,kampanja
population,populacija
fire,vatra
close,Zatvoriti
daughter,kći
involve,uključiti
husband,suprug
wrong,pogrešan
certainly,sigurno
increase,povećati
future,budućnost
south,jug
medical,medicinski
call,poziv
board,odbor
anyone,bilo tko
deal,Dogovor
hospital,bolnica
rest,odmor
seek,tražiti
myself,sebe
county,okrug
fight,borba
subject,subjekt
risk,rizik
order,narudžba
west,Zapad
economy,Ekonomija
quickly,brzo
throw,bacanje
bed,krevet
officer,časnik
represent,predstavljati
soon,uskoro
top,vrh
fill,ispuniti
author,Autor
past,prošlost
upon,na
goal,cilj
behavior,ponašanje
drop,pad
nature,priroda
agency,agencija
plan,plan
recently,nedavno
second,drugi
store,trgovina
foreign,inozemni
current,Trenutno
performance,izvođenje
bank,banka
sound,zvuk
push,gurnuti
focus,usredotočenost
reduce,smanjiti
note,Bilješka
before,prije
fine,fino
near,blizu
than,od
movement,pokret
common,uobičajen
other,drugi
billion,billion
blood,krv
page,stranica
concern,briga
poor,siromašan
enter,Unesi
share,udio
each,svaki
series,niz
usually,obično
natural,prirodan
hot,vrući
race,trka
language,Jezik
river,Rijeka
dead,mrtav
act,činiti
significant,značajan
no,Ne
response,odgovor
rise,ustati
decade,desetljeće
article,članak
thus,Tako
seven,sedam
shoot,pucati
east,istočno
animal,životinja
away,daleko
similar,sličan
save,uštedjeti
factor,faktor
central,središnji
occur,pojaviti se
committee,odbor
serious,ozbiljan
sport,sport
lie,laž
beyond,Iznad
exactly,točno
despite,bez obzira na
happy,sretan
eight,osam
protect,zaštititi
list,popis
size,veličina
quality,kvaliteta
pressure,pritisak
accept,prihvatiti
ready,spreman
approach,pristup
sign,znak
attack,napad
individual,pojedinac
career,karijera
answer,odgovor
dog,pas
media,medija
thought,misao
whatever,što god
determine,odrediti
television,televizija
meeting,sastanak
scene,scena
success,uspjeh
prepare,pripremiti
identify,identificirati
press,preša
particularly,posebno
resource,resurs
amount,iznos
argue,raspravljati
recognize,prepoznati
treatment,liječenje
left,lijevo
degree,stupanj
stock,zaliha
indicate,označiti
growth,rast
simple,jednostavan
ability,sposobnost
dollar,dolar
union,unija
disease,bolest
everybody,svi
wonder,čudo
election,izborni
loss,gubitak
box,kutija
deal,Dogovor
herself,sama
fund,fond
miss,propustiti
pretty,prilično
region,regija
feeling,osjećaj
lay,položiti
training,trening
message,poruka
arrive,stići
standard,standard
outside,vanjski
fail,iznevjeriti
trade,trgovina
staff,osoblje
benefit,korist
character,lik
army,vojska
association,udruženje
operation,operacija
present,predstaviti
crime,zločin
name,Ime
cup,kupa
island,otok
analysis,analiza
check,ček
answer,odgovor
photograph,fotografirati
glass,staklo
forward,naprijed
authority,vlast
earth,Zemlja
stage,pozornica
one,jedan
act,činiti
sort,vrsta
station,stanica
clearly,jasno
little,malo
compare,usporediti
indeed,doista
public,javnost
knowledge,znanje
state,država
blue,plave boje
example,primjer
strategy,strategija
mountain,planina
guess,nagađati
sister,sestra
force,sila
gun,pištolj
various,razni
laugh,smijeh
environment,okoliš
design,oblikovati
sun,Sunce
lawyer,odvjetnik
sex,seks
rather,radije
artist,umjetnik
club,klub
prove,dokazati
section,odjeljak
skill,vještina
truth,istina
set,set
ok,u redu
manager,menadžer
executive,izvršni
district,okrug
claim,zahtjev
forget,zaboraviti
hang,objesiti
entire,cijeli
leg,noga
enough,dovoljno
design,oblikovati
close,Zatvoriti
study,studija
since,od
environmental,ekološki
establish,uspostaviti
democratic,demokratski
remove,ukloniti
main,glavni
professor,profesor
financial,financijski
enjoy,uživati
network,mreža
sound,zvuk
discuss,raspravljati
form,oblik
final,konačan
trial,suđenje
legal,pravni
help,Pomozite
cold,hladnoća
above,iznad
rock,stijena
that,da
seat,sjedalo
weapon,oružje
song,pjesma
expert,stručnjak
radio,radio
nice,Lijepo
avoid,Izbjegavajte
memory,memorija
management,upravljanje
charge,naplatiti
spring,Proljeće
card,kartica
maintain,održavati
theory,teorija
care,briga
visit,posjetiti
imagine,zamisliti
finish,Završi
statement,izjava
firm,firma
huge,ogroman
respond,odgovoriti
popular,popularan
hard,tvrdoglav
physical,fizički
talk,razgovor
traditional,tradicionalan
contain,obuzdati
peace,mir
green,zelena boja
thanks,Hvala
control,kontrolirati
Democrat,Demokrati
base,baza
impact,udarac
structure,struktura
tonight,večeras
note,Bilješka
direction,smjer
fly,letjeti
onto,na
king,kralj
reveal,otkriti
cell,ćelija
religious,vjerski
ball,lopta
particular,određeni
employee,zaposlenik
head,glava
suddenly,iznenada
apply,prijaviti
shake,tresti
cultural,kulturni
chair,stolica
PM,Pom
justice,pravda
discover,otkriti
measure,mjera
politics,politika
manage,upravljati
treat,liječiti
yourself,sami
pain,bol
evening,večer
rather,radije
unit,jedinica
affect,utjecati
play,igra
production,proizvodnja
bit,zalogaj
inside,unutra
far,daleko
range,raspon
top,vrh
worry,briga
perform,izvoditi
necessary,potreban
conference,konferencija
individual,pojedinac
candidate,kandidat
museum,muzej
specific,specifično
best,najbolje
throughout,širom
hall,dvorana
past,prošlost
fish,riba
trip,putovanje
mention,spomenuti
edge,rub
trouble,smetnja
interview,intervju
style,stil
middle,srednji
cause,uzrok
ten,deset
weight,težina
adult,odrasla osoba
dream,san
fear,strah
dark,tamna
sign,znak
method,metoda
somebody,netko
magazine,časopis
reflect,razmišljati
heavy,težak
soldier,vojnik
property,imovina
beautiful,lijep
writer,pisac
stuff,stvari
camera,fotoaparat
improve,poboljšati
shoulder,rame
bar,bar
hotel,hotel
instead,umjesto toga
hill,brdo
exist,postojati
sea,more
institution,institucija
purpose,Svrha
pattern,uzorak
detail,detalj
machine,mašina
challenge,izazov
owner,vlasnik
agent,agent
tough,tvrd
ahead,ispred
generation,generacija
commercial,komercijalni
whom,kome
fall,pad
down,spušteno
surface,površinski
budget,proračun
senator,senator
bag,torba
reality,stvarnost
editor,urednik
tend,skloniti
address,adresa
civil,civilni
step,korak
discussion,rasprava
test,test
mom,mama
violence,nasilje
total,ukupno
skin,koža
heat,toplina
council,vijeće
notice,obavijest
beat,pobijediti
nor,ni
modern,moderan
vote,glasanje
sing,pjevati
cancer,Rak
finger,prst
lake,jezero
wish,želja
marriage,brak
victim,žrtva
task,zadatak
yard,dvorište
kitchen,kuhinja
item,artikal
responsibility,odgovornost
mouth,usta
agreement,sporazum
attorney,odvjetnik
capital,kapital
threat,prijetnja
smile,osmijeh
gas,plin
instead,umjesto toga
positive,pozitivan
track,staza
investment,ulaganje
account,račun
break,pauza
rich,bogat
citizen,građanin
audience,publika
lady,dama
dinner,večera
western,zapadni
debate,rasprava
consumer,potrošač
majority,većina
interesting,zanimljiv
prevent,spriječiti
travel,putovati
born,rođen
relate,povezati
assume,pretpostaviti
none,nijedan
admit,priznati
front,ispred
figure,lik
coach,trener
partner,partner
shot,pucanj
scientist,znanstvenik
senior,stariji
suffer,patiti
alone,sama
collection,kolekcija
successful,uspješan
speech,govor
eventually,eventualno
key,ključ
mission,misija
score,postići
newspaper,novine
wind,vjetar
reform,reforma
concerned,zabrinut
professional,profesionalni
relation,odnos
troops,trupe
garden,vrt
access,pristup
publish,objaviti
recall,podsjetiti
Soviet,sovjetski
cost,koštati
southern,južni
senate,senat
opinion,mišljenje
option,opcija
judge,suditi
original,izvornik
customer,kupac
critical,kritično
corner,kutak
basic,"Osnovni, temeljni"
income,prihod
directly,direktno
own,vlastiti
release,puštanje
restaurant,restoran
neighborhood,susjedstvo
effective,učinkovit
labor,rad
nobody,nitko
stare,buljiti
immediately,odmah
achieve,postići
forest,šuma
dad,tata
hurt,povrijediti
video,video
strike,štrajk
safety,sigurnost
absolutely,apsolutno
therefore,stoga
freedom,sloboda
version,verzija
like,Kao
plane,avion
attitude,stav
sexual,seksualni
refer,uputiti
fresh,svježe
involved,uključen
powerful,snažan
bird,ptica
touch,dodir
variety,raznolikost
deep,duboko
text,tekst
wide,širok
credit,Kreditna
nine,devet
sleep,spavati
investigation,istraga
hope,nada
announce,najaviti
by,po
completely,potpuno
vote,glasanje
conduct,ponašanje
conflict,sukob
replace,zamijeniti
attend,pohađati
participant,sudionik
argument,argument
object,objekt
please,Molim
nuclear,nuklearni
sky,nebo
along,uz
afternoon,poslijepodne
hundred,stotina
encourage,ohrabriti
perfect,savršen
possibility,mogućnost
turn,skretanje
British,britanski
once,jednom
examine,"ispitati, pregledati"
conversation,razgovor
generally,općenito
beginning,početak
secretary,tajnica
experience,iskustvo
beach,plaža
safe,sef
spirit,duh
weekend,vikend
date,datum
define,definirati
feature,značajka
global,globalno
very,vrlo
element,element
attempt,pokušaj
slowly,polako
governor,guverner
through,kroz
concept,koncept
sorry,Oprosti
easily,lako
battle,bitka
league,liga
camp,kamp
introduce,predstaviti
status,status
insurance,osiguranje
complete,cjelovit
stick,zalijepiti
solution,riješenje
web,mreža
vision,vizija
stone,kamen
lack,nedostatak
driver,vozač
normal,normalan
truck,kamion
minister,ministar
handle,rukovati
hole,rupa
front,ispred
fan,ventilator
spot,mjesto
crisis,kriza
supposed,trebala
refuse,odbiti
drink,piće
researcher,istraživač
tradition,tradicija
communication,komunikacija
distance,udaljenost
ship,brod
gain,dobiti
express,izraziti
independent,neovisan
ice,led
scale,skala
brain,mozak
winter,zima
commission,komisija
wood,drvo
increase,povećati
return,povratak
division,podjela
species,vrsta
AM,Am
roll,svitak
hide,sakriti
middle,srednji
client,klijent
resident,Rezidencija
contract,ugovor
gold,zlato
future,budućnost
potential,potencijal
presence,prisutnost
institute,institut
screen,zaslon
run,trčanje
Chinese,kineski
horse,konj
European,Europski
target,cilj
willing,voljan
survey,pregled
interested,zainteresiran
chief,glavni
crowd,gužva
prison,zatvor
terms,Pojmovi
obviously,očito
basis,osnova
apartment,apartman
farm,farma
flight,let
shape,oblik
demand,zahtijevajte
strength,jačina
village,selo
operate,raditi
reporter,reporter
share,udio
guard,straža
observe,promatrati
deliver,dostaviti
count,računati
inside,unutra
advantage,prednost
wild,divlji
previous,prethodni
average,prosječan
emerge,pojaviti se
contribute,doprinijeti
leadership,rukovodstvo
boat,čamac
facility,ustanova
present,predstaviti
earn,zaraditi
highly,visoko
vehicle,vozilo
pound,funta
tiny,sićušan
understanding,razumijevanje
settle,naseliti
unless,osim ako
tomorrow,sutra
foundation,temelj
quick,brz
block,blok
light,svjetlo
reader,čitač
collect,skupljati
guest,gost
living,život
tool,alat
protection,zaštita
fair,pravedan
additional,dodatni
promote,promovirati
equipment,oprema
mostly,uglavnom
order,narudžba
painting,slika
